lat	lon	display_name	freq
39.7837304	-100.4458825	USA	352
42.6384261	12.674297	Italy	217
41.894802	12.4853384	Rome, RM, Lazio, Italy	196
41.9027646	12.4958271	Repubblica, Piazza della Repubblica, Municipio Roma I, Rome, RM, Lazio, 00187, Italy	183
45.4667971	9.1904984	Milan, Lombardy, Italy	105
39.3262345	-4.8380649	Spain	103
30.3308401	71.247499	Pakistan	97
46.603354	1.8883335	France	96
51.0834196	10.4234469	Germany	90
45.6727307	12.1536106	Paese, TV, Veneto, Italy	89
35.000074	104.999927	PRC	85
40.7127281	-74.0060152	New York, USA	83
54.8491617	9.0364815	Stato, Ladelund, Südtondern, Northern Friesland, Schleswig-Holstein, 25926, Germany	71
